20221105022540,10.0.0.3,37538,10.0.0.4,5001,1,0.0-1.0,26214460,209715680
20221105022541,10.0.0.3,37538,10.0.0.4,5001,1,1.0-2.0,11010048,88080384
20221105022542,10.0.0.3,37538,10.0.0.4,5001,1,2.0-3.0,11141120,89128960
20221105022543,10.0.0.3,37538,10.0.0.4,5001,1,3.0-4.0,11010048,88080384
20221105022544,10.0.0.3,37538,10.0.0.4,5001,1,4.0-5.0,11141120,89128960
20221105022545,10.0.0.3,37538,10.0.0.4,5001,1,5.0-6.0,16515072,132120576
20221105022546,10.0.0.3,37538,10.0.0.4,5001,1,6.0-7.0,11141120,89128960
20221105022547,10.0.0.3,37538,10.0.0.4,5001,1,7.0-8.0,11010048,88080384
20221105022548,10.0.0.3,37538,10.0.0.4,5001,1,8.0-9.0,11141120,89128960
20221105022549,10.0.0.3,37538,10.0.0.4,5001,1,9.0-10.0,11010048,88080384
20221105022549,10.0.0.3,37538,10.0.0.4,5001,1,10.0-11.0,131072,1020080
20221105022549,10.0.0.3,37538,10.0.0.4,5001,1,0.0-11.0,131465276,95368916
